timestep,portfolio_value,portfolio_value_usd,cash,cash_usd,capacity_value,capacity_value_usd,wind_capacity,solar_capacity,hydro_capacity,battery_soc,battery_action,battery_revenue,operational_revenue,cash_return,noise_return,step_return,investments,total_investment_cost,price,wind_gen,solar_gen,hydro_gen,num_investments
6891,5547842692.1501875,804437190.3617772,1134045349.2573025,164436575.64230886,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,6609.620553564173,431.5239412988437,-968167.6352775599,1.269169625235799e-06,[],0.0,1466.651624,262.563,0.0,289.036,0
6892,5547849420.768888,804438166.0114888,1134052077.8760028,164437551.29202038,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,6297.092198711075,431.5265016550613,312057.2543006716,1.2128351639280741e-06,[],0.0,1420.028499,258.361,0.0,273.67,0
6893,5547855843.563277,804439097.3166752,1134058500.6703923,164438482.59720686,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,5991.265443820773,431.5289456398198,-255976.7589977817,1.1577088528622877e-06,[],0.0,1373.4053740000002,254.158,0.0,267.979,0
6894,5547861967.282788,804439985.2560042,1134064624.389903,164439370.53653592,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,5692.188235119444,431.53127582139547,334811.238133406,1.1037993206216694e-06,[],0.0,1326.782249,249.956,0.0,350.598,0
6895,5547867860.600155,804440839.7870224,1134070517.7072701,164440225.06755415,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,5461.783848722236,431.5335183309558,-185279.57456423694,1.06226820374308e-06,[],0.0,1298.5970171666668,245.044,0.0,316.604,0
6896,5547873528.28964,804441661.6019979,1134076185.3967552,164441046.8825295,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,5236.153809946903,431.5356749851903,-588481.0700967045,1.021597779175802e-06,[],0.0,1270.4117853333337,240.133,0.0,336.813,0
6897,5547878975.081412,804442451.3868047,1134081632.1885273,164441836.66733646,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,5015.254024577245,431.53774758401056,-496743.6087727543,9.817800899956582e-07,[],0.0,1242.2265535,235.221,0.0,356.006,0
6898,5547884205.74877,804443209.8335716,1134086862.8558846,164442595.11410326,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4799.127619292331,431.53973794373917,696533.2302133441,9.42822902399021e-07,[],0.0,1214.0413216666666,230.31,0.0,245.249,0
6899,5547889225.022853,804443937.6283137,1134091882.1299675,164443322.90884528,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4587.732434950227,431.54164786465736,148796.90997592747,9.047186092918979e-07,[],0.0,1185.8560898333333,225.398,0.0,357.935,0
6900,5547894037.675995,804444635.4630193,1134096694.78311,164444020.74355093,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4381.109663155732,431.543479162721,-123097.74419189226,8.674746280565071e-07,[],0.0,1157.670858,220.487,0.0,269.083,0
6901,5547898913.326761,804445342.4323803,1134101570.433876,164444727.71291202,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4444.105431721447,431.545334432474,787024.8712736544,8.788291076328999e-07,[],0.0,1138.0269776666669,227.518,0.0,300.407,0
6902,5547903847.23395,804446057.8489226,1134106504.341065,164445443.1294544,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4502.359977006967,431.5472118698071,326567.84329864953,8.89328963179854e-07,[],0.0,1118.3830973333334,234.549,0.0,234.547,0
6903,5547908834.675218,804446781.0279065,1134111491.7823322,164446166.30843815,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4555.89215766491,431.5491096777863,-3618.8571110439284,8.989775968186329e-07,[],0.0,1098.7392169999998,241.581,0.0,361.787,0
6904,5547913870.890162,804447511.2790735,1134116527.9972775,164446896.5596052,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4604.663919224399,431.5510260449967,71670.15361282486,9.077681510125796e-07,[],0.0,1079.0953366666663,248.612,0.0,244.51,0
6905,5547918951.137579,804448247.9149489,1134121608.2446942,164447633.19548064,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4648.694457503698,431.5529591673269,595864.9245199033,9.157040889102973e-07,[],0.0,1059.4514563333332,255.643,0.0,268.863,0
6906,5547924070.694106,804448990.2506453,1134126727.8012211,164448375.53117704,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4688.0016196584875,431.5549072474558,1652413.2360283078,9.227886297956842e-07,[],0.0,1039.807576,262.675,0.0,272.395,0
6907,5547928995.853056,804449704.3986931,1134131652.9601707,164449089.67922476,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4493.60216836019,431.55678135593206,-316480.3966330987,8.877480814613597e-07,[],0.0,1027.5985435,254.774,0.0,322.242,0
6908,5547933729.90831,804450390.8367049,1134136387.015425,164449776.1172366,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4302.496671460135,431.5585827461348,150629.15588968055,8.533013413692094e-07,[],0.0,1015.389511,246.872,0.0,320.622,0
6909,5547938276.188818,804451050.0473785,1134140933.2959323,164450435.32791018,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,4114.7201946057685,431.5603126847867,-343646.5612458168,8.194547248343786e-07,[],0.0,1003.1804785,238.971,0.0,369.086,0
6910,5547942638.00589,804451682.510854,1134145295.113005,164451067.7913857,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,3930.255100196046,431.56197243189973,-313518.8257965801,7.862050467711842e-07,[],0.0,990.971446,231.07,0.0,323.168,0
6911,5547946818.654042,804452288.704836,1134149475.761157,164451673.98536775,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,3749.0845888484914,431.5635632410935,-88629.14448224465,7.535492749532175e-07,[],0.0,978.7624135,223.168,0.0,376.591,0
6912,5547950821.461597,804452869.1119316,1134153478.5687122,164452254.39246327,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,3571.2424688827014,431.56508637885304,720914.5959668495,7.214934976917766e-07,[],0.0,966.553381,215.267,0.0,347.175,0
6913,5547954726.9102745,804453435.4019897,1134157384.0173888,164452820.68252137,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,3473.882104103071,431.56657246986924,211675.1603982736,7.039443576095191e-07,[],0.0,970.7224288333332,208.499,0.0,280.841,0
6914,5547958534.04817,804453987.4369847,1134161191.155285,164453372.7175163,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,3375.5698749558055,431.56802115192687,-258569.35090608447,6.862236775505104e-07,[],0.0,974.8914766666668,201.732,0.0,294.661,0
6915,5547962241.889989,804454525.0740483,1134164898.997104,164453910.35458004,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,3276.2723871138382,431.56943205010344,-455314.9163257787,6.683254382768456e-07,[],0.0,979.0605245,194.964,0.0,403.456,0
6916,5547965849.467096,804455048.1727289,1134168506.5742106,164454433.45326054,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,3176.006301962137,431.5708047958165,-44117.52008862971,6.502526423468474e-07,[],0.0,983.2295723333332,188.196,0.0,389.205,0
6917,5547969355.827802,804455556.5950311,1134172012.9349167,164454941.8755629,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,3074.788567114189,431.5721390269322,468329.59979537426,6.320083433304606e-07,[],0.0,987.3986201666668,181.429,0.0,368.944,0
6918,5547972759.986595,804456050.1980562,1134175417.09371,164455435.47858793,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,2972.585358900151,431.5734343684458,-2103.5736750277506,6.135864448987162e-07,[],0.0,991.567668,174.661,0.0,375.421,0
6919,5547976053.508752,804456527.7587689,1134178710.615867,164455913.03930068,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,2861.947469122254,431.5746876107988,420740.97681040986,5.93644255153724e-07,[],0.0,981.6855566666668,169.853,0.0,350.809,0
6920,5547979238.041934,804456989.5160804,1134181895.149049,164456374.7966121,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,2752.957282833999,431.575899380955,-479501.0679957362,5.739990856900229e-07,[],0.0,971.8034453333332,165.046,0.0,344.215,0
6921,5547982315.200275,804457435.7040399,1134184972.3073897,164456820.9845715,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,2645.5812705409394,431.5770702931201,362255.5664360034,5.546448912980805e-07,[],0.0,961.921334,160.238,0.0,329.852,0
6922,5547985286.614758,804457866.5591397,1134187943.7218726,164457251.83967152,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,2539.836281798094,431.5782009679115,650390.6059244502,5.355847068898659e-07,[],0.0,952.0392226666668,155.43,0.0,412.216,0
6923,5547988153.932537,804458282.3202178,1134190811.0396523,164457667.60074958,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.0229166666666753,idle,0.0,2435.7384876981087,431.57929203210057,-626422.5498089833,5.168214462390151e-07,[],0.0,942.1571113333332,150.623,0.0,303.948,0
6924,5547987034.287613,804458119.9717038,1134189691.394728,164457505.25223553,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.05833333333334196,charge,-3884.479166666666,2333.2553764400996,431.5788659877709,-586227.6965157448,-2.0181097960171189e-07,[],0.0,932.275,145.815,0.0,339.103,0
6925,5547985837.191869,804457946.392821,1134188494.2989838,164457331.67335263,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.09375000000000862,charge,-3877.0209562499995,2248.3468018409226,431.5784104720599,554172.713902625,-2.1577118633023413e-07,[],0.0,930.4850295,140.779,0.0,241.581,0
6926,5547984562.970657,804457761.6307453,1134187220.077772,164457146.9112769,4413797342.892885,640000614.7194684,320.00030735973417,0.0,0.0,0.12916666666667528,charge,-3869.562745833333,2163.763608108827,431.5779256087695,-94224.90908475897,-2.2967275851561327e-07,[],0.0,928.695059,135.744,0.0,255.366,0
