valid_time,u100,v100,wind_speed_100m,number,expver
2018-01-08 18:00:00,-10.581054,3.5517502,11.161256,0,0001
2018-01-08 19:00:00,-10.958282,4.1561365,11.719958,0,0001
2018-01-08 20:00:00,-11.002377,5.008198,12.088604,0,0001
2018-01-08 21:00:00,-11.492806,5.444007,12.716989,0,0001
2018-01-08 22:00:00,-12.373812,5.278019,13.452461,0,0001
2018-01-08 23:00:00,-13.911467,4.7973566,14.715418,0,0001
2018-01-09 00:00:00,-14.522859,5.175723,15.417572,0,0001
2018-01-09 01:00:00,-14.5837345,5.5012836,15.586835,0,0001
2018-01-09 02:00:00,-14.992896,5.675514,16.03117,0,0001
2018-01-09 03:00:00,-15.015707,5.2698793,15.913612,0,0001
2018-01-09 04:00:00,-14.85958,5.551634,15.862779,0,0001
2018-01-09 05:00:00,-14.323648,5.6602173,15.40146,0,0001
2018-01-09 06:00:00,-14.039462,5.7252502,15.161959,0,0001
2018-01-09 07:00:00,-14.185545,5.816656,15.33177,0,0001
2018-01-09 08:00:00,-14.573267,5.947242,15.74007,0,0001
2018-01-09 09:00:00,-14.430649,5.899971,15.590166,0,0001
2018-01-09 10:00:00,-14.006078,5.915077,15.203893,0,0001
2018-01-09 11:00:00,-13.786526,5.1553383,14.718893,0,0001
2018-01-09 12:00:00,-13.376101,4.967492,14.268708,0,0001
2018-01-09 13:00:00,-13.488903,5.458495,14.551483,0,0001
2018-01-09 14:00:00,-13.68921,5.8228874,14.876172,0,0001
2018-01-09 15:00:00,-13.595407,6.0261984,14.871118,0,0001
2018-01-09 16:00:00,-13.274178,6.480896,14.771791,0,0001
2018-01-09 17:00:00,-12.634955,7.2763786,14.580391,0,0001
2018-01-09 18:00:00,-11.745766,7.9203424,14.16668,0,0001
2018-01-09 19:00:00,-10.512262,7.8141165,13.0984,0,0001
2018-01-09 20:00:00,-9.71477,7.439109,12.235894,0,0001
2018-01-09 21:00:00,-9.6050625,7.3837166,12.115135,0,0001
2018-01-09 22:00:00,-7.564617,8.109042,11.089635,0,0001
2018-01-09 23:00:00,-7.206028,6.8595724,9.948898,0,0001
2018-01-10 00:00:00,-6.8309393,6.5524473,9.465532,0,0001
2018-01-10 01:00:00,-7.2528667,6.7294254,9.893899,0,0001
2018-01-10 02:00:00,-6.791374,7.102995,9.827273,0,0001
2018-01-10 03:00:00,-5.9976006,8.190276,10.151445,0,0001
2018-01-10 04:00:00,-4.905756,7.3145685,8.807347,0,0001
2018-01-10 05:00:00,-4.261383,6.712451,7.9508734,0,0001
2018-01-10 06:00:00,-4.6398687,6.820195,8.248845,0,0001
2018-01-10 07:00:00,-4.069001,7.0734463,8.160295,0,0001
2018-01-10 08:00:00,-3.7164078,6.8414,7.7856565,0,0001
2018-01-10 09:00:00,-3.688612,6.801876,7.7376595,0,0001
2018-01-10 10:00:00,-5.150769,6.046589,7.943026,0,0001
2018-01-10 11:00:00,-5.2836056,6.1735697,8.125851,0,0001
2018-01-10 12:00:00,-4.808571,6.7016497,8.248301,0,0001
2018-01-10 13:00:00,-4.5600376,6.91693,8.284797,0,0001
2018-01-10 14:00:00,-4.993619,6.362089,8.087793,0,0001
2018-01-10 15:00:00,-5.419839,6.0537148,8.125399,0,0001
2018-01-10 16:00:00,-5.913933,6.1622267,8.540939,0,0001
2018-01-10 17:00:00,-6.8284416,6.589596,9.489488,0,0001
2018-01-10 18:00:00,-7.2676964,6.905736,10.025398,0,0001
2018-01-10 19:00:00,-6.567033,7.2404337,9.774958,0,0001
2018-01-10 20:00:00,-5.827465,6.957226,9.07537,0,0001
2018-01-10 21:00:00,-5.8836613,5.9549093,8.371285,0,0001
2018-01-10 22:00:00,-6.6122456,5.1207542,8.363248,0,0001
2018-01-10 23:00:00,-7.4591866,4.4312277,8.676131,0,0001
2018-01-11 00:00:00,-7.5701017,4.1406584,8.628528,0,0001
2018-01-11 01:00:00,-6.586087,4.38861,7.914319,0,0001
2018-01-11 02:00:00,-6.0641584,3.987525,7.2577114,0,0001
2018-01-11 03:00:00,-6.1184206,3.3961153,6.9977617,0,0001
2018-01-11 04:00:00,-6.709835,2.6807737,7.22554,0,0001
2018-01-11 05:00:00,-6.8549824,2.1947117,7.197746,0,0001
2018-01-11 06:00:00,-6.5717964,1.9120846,6.84431,0,0001
2018-01-11 07:00:00,-5.920809,1.7500429,6.1740284,0,0001
2018-01-11 08:00:00,-5.6607714,1.6126442,5.8859963,0,0001
2018-01-11 09:00:00,-5.459141,1.4465361,5.6475377,0,0001
