timestep,portfolio_value,weights,returns,price,optimization_method,total_return,sharpe_ratio,max_drawdown,volatility,var_95,calmar_ratio,sortino_ratio,information_ratio
41,5516101460.874433,[0.2 0.2 0.2 0.2 0.2],"[-9.98863947e-05 -1.38759668e-05 -5.76773706e-05 -2.02133672e-05
  2.28310502e-06]",4.725,equal_weight,-0.00020661021650924679,-21.793796784649942,-0.00023868307286690408,0.002943229924440656,-5.6675236153182474e-05,-0.8656257606690778,0.0,0.0
42,5515838769.500242,[0.2 0.2 0.2 0.2 0.2],"[-2.74422443e-04 -4.20124804e-05  8.21307879e-05 -6.09222363e-06
  2.28310502e-06]",5.67,equal_weight,-0.0002542230280812442,-24.581333625040735,-0.0002610489526585745,0.002970783806997672,-5.65447005381788e-05,-0.9738519365513107,0.0,0.0
43,5515828099.873273,[0.2 0.2 0.2 0.2 0.2],"[ 1.36582976e-05  4.64606438e-05 -2.46587109e-05 -4.74151437e-05
  2.28310502e-06]",5.706666666666667,equal_weight,-0.0002561568979694366,-24.581644906394274,-0.0002629828093429602,0.0029366114159042177,-5.641416492317513e-05,-0.974044267796144,0.0,0.0
44,5515472590.03776,[0.2 0.2 0.2 0.2 0.2],"[-1.41898040e-04  1.01138072e-05 -6.33066832e-05 -1.29455528e-04
  2.28310502e-06]",5.743333333333333,equal_weight,-0.0003205930556561887,-27.800263872753735,-0.0003274185270815149,0.00301553313984684,-6.0165089639500396e-05,-0.979153679890488,0.0,0.0
45,5515442077.048259,[0.2 0.2 0.2 0.2 0.2],"[-2.01198558e-05 -3.74509694e-05 -1.47831361e-05  4.24095915e-05
  2.28310502e-06]",5.779999999999999,equal_weight,-0.0003261235350032448,-27.998932645998607,-0.00033294896866833663,0.0029819372295724735,-5.995980414030522e-05,-0.9795000606477599,0.0,0.0
46,5515487120.295298,[0.2 0.2 0.2 0.2 0.2],"[ 1.75904456e-04 -8.30127042e-05 -1.34536451e-04  8.01953541e-05
  2.28310502e-06]",5.816666666666666,equal_weight,-0.00031795944647745487,-27.24379536455468,-0.00033294896866833663,0.002956841531016427,-5.975451864111005e-05,-0.9549795205828873,0.0,0.0
47,5515741043.057849,[0.2 0.2 0.2 0.2 0.2],"[ 1.81184015e-04 -7.70806958e-05  6.66822867e-05  5.71219838e-05
  2.28310502e-06]",5.8533333333333335,equal_weight,-0.00027193594576503037,-23.473179024164168,-0.00033294896866833663,0.003011370693848491,-5.954923314191488e-05,-0.8167496263846857,0.0,0.0
48,5515566312.944606,[0.2 0.2 0.2 0.2 0.2],"[-1.47242225e-04 -1.24624181e-04  4.13066240e-05  6.98844387e-05
  2.28310502e-06]",5.89,equal_weight,-0.00030360577879034274,-25.13833853415923,-0.00033294896866833663,0.0029998717857330605,-5.934394764271971e-05,-0.9118688068163869,0.0,0.0
49,5515761010.620371,[0.2 0.2 0.2 0.2 0.2],"[5.15812342e-05 9.16001122e-06 9.27572763e-05 2.07167278e-05
 2.28310502e-06]",7.258333333333333,equal_weight,-0.0002683168250579297,-22.508413641710252,-0.00033294896866833663,0.0030197695850230633,-5.9138662143524535e-05,-0.8058797302514262,0.0,0.0
50,5515677347.424188,[0.2 0.2 0.2 0.2 0.2],"[-3.82256611e-05 -1.10719910e-04 -1.08277681e-04  1.79100026e-04
  2.28310502e-06]",8.626666666666667,equal_weight,-0.00028348077936613556,-23.283944681779168,-0.00033294896866833663,0.0029921156937168635,-5.8933376644329366e-05,-0.8514241101269838,0.0,0.0
51,5515717283.921222,[0.2 0.2 0.2 0.2 0.2],"[-4.74952898e-06 -5.17095311e-05  1.11863000e-04 -2.14843312e-05
  2.28310502e-06]",9.995,equal_weight,-0.0002762422892787098,-22.73080741129869,-0.00033294896866833663,0.0029673692631260193,-5.872809114513419e-05,-0.8296835709795679,0.0,0.0
52,5515847023.931085,[0.2 0.2 0.2 0.2 0.2],"[ 9.48609546e-05  1.23669169e-04 -1.08178779e-04  4.97492281e-06
  2.28310502e-06]",11.363333333333332,equal_weight,-0.00025272691249105927,-21.125104360654014,-0.00033294896866833663,0.0029621465320734948,-5.852280564593902e-05,-0.7590560003890877,0.0,0.0
53,5515953119.847091,[0.2 0.2 0.2 0.2 0.2],"[-3.38970234e-05  1.24020348e-05  1.15525976e-05  1.03833015e-04
  2.28310502e-06]",12.731666666666666,equal_weight,-0.00023349702771495578,-19.861625415259123,-0.00033294896866833663,0.00295006890355566,-5.831752014674385e-05,-0.7012997476725967,0.0,0.0
54,5516088829.5776415,[0.2 0.2 0.2 0.2 0.2],"[ 8.58290059e-06  1.41065642e-04  5.69642269e-05 -8.58802074e-05
  2.28310502e-06]",14.1,equal_weight,-0.00020889963905262944,-18.29504755854271,-0.00033294896866833663,0.0029454583350413707,-5.8112234647548674e-05,-0.6274223941529083,0.0,0.0
55,5516102097.098796,[0.2 0.2 0.2 0.2 0.2],"[ 1.80190754e-05  3.62262150e-05 -8.37235392e-05  3.92213471e-05
  2.28310502e-06]",14.385,equal_weight,-0.00020649490084339377,-18.114757404003672,-0.00033294896866833663,0.002919612842086337,-5.7906949148353504e-05,-0.6201998512543565,0.0,0.0
56,5516612809.525468,[0.2 0.2 0.2 0.2 0.2],"[2.03912325e-04 1.96113179e-04 3.37521624e-05 2.68679572e-05
 2.28310502e-06]",14.67,equal_weight,-0.00011392827350909708,-12.081742836546061,-0.00033294896866833663,0.0031301556235071998,-5.7701663649158335e-05,-0.342179385521946,0.0,0.0
57,5516668872.811281,[0.2 0.2 0.2 0.2 0.2],"[-3.89827979e-06  9.22638430e-05  2.20066482e-05 -6.18421746e-05
  2.28310502e-06]",14.955,equal_weight,-0.00010376680295543072,-11.571494191738177,-0.00033294896866833663,0.0031061941804498686,-5.749637814996316e-05,-0.31165978188926863,0.0,0.0
58,5516634532.145642,[0.2 0.2 0.2 0.2 0.2],"[ 8.14317152e-05 -6.43487124e-05 -3.31620396e-05 -1.73285262e-05
  2.28310502e-06]",15.24,equal_weight,-0.00010999104860248564,-11.886804045476701,-0.00033294896866833663,0.003079767819743893,-5.729109265076799e-05,-0.3303540751076841,0.0,0.0
59,5516550441.871084,[0.2 0.2 0.2 0.2 0.2],"[ 9.34180595e-05 -1.60991529e-04 -3.83217442e-05  2.73969140e-05
  2.28310502e-06]",15.525,equal_weight,-0.00012523241086613533,-12.620235951832157,-0.00033294896866833663,0.0030578111871491283,-5.708580715157281e-05,-0.37613094693464627,0.0,0.0
